,Event,Date,Location,Disease,Death toll (estimate),Ref.
0,1350 BC plague of Megiddo,1350 BC,"Megiddo, land of Canaan","Amarna letters EA 244, Biridiya, mayor of Megiddo complains to Amenhotep III of his area being ""consumed by death, plague and dust""",Unknown,[25]
1,Plague of Athens,429–426 BC,"Greece, Libya, Egypt, Ethiopia","Unknown, possibly typhus, typhoid fever or viral hemorrhagic fever","75,000–100,000",[26][27][28][29]
2,412 BC epidemic,412 BC,"Greece (Northern Greece, Roman Republic)","Unknown, possibly influenza",Unknown,[30]
3,Antonine Plague,165–180 (possibly up to 190),Roman Empire,"Unknown, possibly smallpox",5–10 million,[31][32]
4,Jian'an Plague,217,Han Dynasty,"Unknown, possibly typhoid fever or viral hemorrhagic fever",Unknown,[33][34]
5,Plague of Cyprian,250–266,Europe,"Unknown, possibly smallpox",Unknown,[35][36]
6,Plague of Justinian (beginning of first plague pandemic),541–549,Europe and West Asia,Bubonic plague,15–100 million,[7][37][38]
7,Roman Plague of 590 (part of first plague pandemic),590,"Rome, Byzantine Empire",Bubonic plague,Unknown,[39]
8,Plague of Sheroe (part of First plague pandemic),627–628,Bilad al-Sham,Bubonic plague,"25,000+",
9,Plague of Amwas (part of first plague pandemic),638–639,"Byzantine Empire, West Asia, Africa",Bubonic plague,"25,000+",[40]
10,Plague of 664 (part of first plague pandemic),664–689,British Isles,Bubonic plague,Unknown,[41]
11,Plague of 698–701 (part of first plague pandemic),698–701,"Byzantine Empire, West Asia, Syria, Mesopotamia",Bubonic plague,Unknown,[42]
12,735–737 Japanese smallpox epidemic,735–737,Japan,Smallpox,"2 million (approx. .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}1⁄3 of Japanese population)",[12][43]
13,Plague of 746–747 (part of first plague pandemic),746–747,"Byzantine Empire, West Asia, Africa",Bubonic plague,Unknown,[40]
14,Black Death (start of the second plague pandemic),1346–1353,Eurasia and North Africa,Bubonic plague Yersinia pestis bacterium,75–200 million (30–60% of European population),[44]
15,Sweating sickness (multiple outbreaks),1485–1551,Britain (England) and later continental Europe,"Unknown, possibly an unknown species of hantavirus","10,000+",[45]
16,1489 Spain typhus epidemic,1489,Spain,Typhus,17000,[46]
